,Country,year,infertility
0,South Sudan,2004,0.0
1,South Sudan,2005,0.0
2,South Sudan,2006,0.0
3,South Sudan,2007,0.0
4,South Sudan,2008,0.0
5,South Sudan,2009,0.0
6,South Sudan,2010,0.0
7,South Sudan,2011,0.0
8,South Sudan,2012,0.0
9,South Sudan,2013,0.0
10,South Sudan,2014,2.6666666666666665
11,South Sudan,2015,4.833333333333333
12,South Sudan,2016,2.5833333333333335
13,South Sudan,2017,6.416666666666667
14,South Sudan,2018,6.083333333333333
15,South Sudan,2019,10.75
16,South Sudan,2020,17.0
17,Spain,2004,33.5
18,Spain,2005,31.25
19,Spain,2006,16.416666666666668
20,Spain,2007,33.583333333333336
21,Spain,2008,15.75
22,Spain,2009,12.916666666666666
23,Spain,2010,14.583333333333334
24,Spain,2011,24.916666666666668
25,Spain,2012,20.666666666666668
26,Spain,2013,13.5
27,Spain,2014,14.083333333333334
28,Spain,2015,12.416666666666666
29,Spain,2016,20.166666666666668
30,Spain,2017,13.916666666666666
31,Spain,2018,15.583333333333334
32,Spain,2019,22.916666666666668
33,Spain,2020,14.833333333333334
34,Sri Lanka,2004,16.166666666666668
35,Sri Lanka,2005,15.416666666666666
36,Sri Lanka,2006,10.083333333333334
37,Sri Lanka,2007,7.583333333333333
38,Sri Lanka,2008,13.5
39,Sri Lanka,2009,6.5
40,Sri Lanka,2010,1.0833333333333333
41,Sri Lanka,2011,7.5
42,Sri Lanka,2012,6.166666666666667
43,Sri Lanka,2013,7.666666666666667
44,Sri Lanka,2014,6.666666666666667
45,Sri Lanka,2015,7.833333333333333
46,Sri Lanka,2016,9.583333333333334
47,Sri Lanka,2017,2.8333333333333335
48,Sri Lanka,2018,9.166666666666666
49,Sri Lanka,2019,4.166666666666667
50,Sri Lanka,2020,2.4166666666666665
51,St. Helena,2004,0.0
52,St. Helena,2005,0.0
53,St. Helena,2006,0.0
54,St. Helena,2007,0.0
55,St. Helena,2008,0.0
56,St. Helena,2009,0.0
57,St. Helena,2010,0.0
58,St. Helena,2011,0.0
59,St. Helena,2012,0.0
60,St. Helena,2013,0.75
61,St. Helena,2014,0.0
62,St. Helena,2015,2.0
63,St. Helena,2016,5.333333333333333
64,St. Helena,2017,6.166666666666667
65,St. Helena,2018,7.833333333333333
66,St. Helena,2019,8.916666666666666
67,St. Helena,2020,8.416666666666666
68,Sudan,2004,8.333333333333334
69,Sudan,2005,4.0
70,Sudan,2006,15.75
71,Sudan,2007,2.25
72,Sudan,2008,8.416666666666666
73,Sudan,2009,9.416666666666666
74,Sudan,2010,5.25
75,Sudan,2011,2.9166666666666665
76,Sudan,2012,7.666666666666667
77,Sudan,2013,4.666666666666667
78,Sudan,2014,18.166666666666668
79,Sudan,2015,1.5
80,Sudan,2016,3.3333333333333335
81,Sudan,2017,2.1666666666666665
82,Sudan,2018,5.666666666666667
83,Sudan,2019,1.25
84,Sudan,2020,1.1666666666666667
85,Sweden,2004,38.583333333333336
86,Sweden,2005,23.333333333333332
87,Sweden,2006,28.833333333333332
88,Sweden,2007,17.583333333333332
89,Sweden,2008,25.5
90,Sweden,2009,13.166666666666666
91,Sweden,2010,16.833333333333332
92,Sweden,2011,13.333333333333334
93,Sweden,2012,18.75
94,Sweden,2013,11.666666666666666
95,Sweden,2014,13.0
96,Sweden,2015,10.5
97,Sweden,2016,14.25
98,Sweden,2017,15.416666666666666
99,Sweden,2018,19.583333333333332
100,Sweden,2019,12.166666666666666
101,Sweden,2020,13.666666666666666
102,Switzerland,2004,34.916666666666664
103,Switzerland,2005,41.25
104,Switzerland,2006,16.166666666666668
105,Switzerland,2007,31.583333333333332
106,Switzerland,2008,10.25
107,Switzerland,2009,22.75
108,Switzerland,2010,20.0
109,Switzerland,2011,25.916666666666668
110,Switzerland,2012,12.416666666666666
111,Switzerland,2013,10.083333333333334
112,Switzerland,2014,13.583333333333334
113,Switzerland,2015,16.166666666666668
114,Switzerland,2016,19.0
115,Switzerland,2017,18.333333333333332
116,Switzerland,2018,10.0
117,Switzerland,2019,18.666666666666668
118,Switzerland,2020,9.5
119,Syria,2004,14.5
120,Syria,2005,6.166666666666667
121,Syria,2006,8.166666666666666
122,Syria,2007,2.9166666666666665
123,Syria,2008,2.0
124,Syria,2009,8.666666666666666
125,Syria,2010,2.0833333333333335
126,Syria,2011,1.5
127,Syria,2012,2.5
128,Syria,2013,2.3333333333333335
129,Syria,2014,1.4166666666666667
130,Syria,2015,1.75
131,Syria,2016,0.8333333333333334
132,Syria,2017,2.5
133,Syria,2018,1.6666666666666667
134,Syria,2019,1.8333333333333333
135,Syria,2020,3.6666666666666665
136,Taiwan,2004,28.5
137,Taiwan,2005,29.083333333333332
138,Taiwan,2006,29.416666666666668
139,Taiwan,2007,34.0
140,Taiwan,2008,31.166666666666668
141,Taiwan,2009,33.416666666666664
142,Taiwan,2010,36.333333333333336
143,Taiwan,2011,21.5
144,Taiwan,2012,26.416666666666668
145,Taiwan,2013,24.75
146,Taiwan,2014,28.75
147,Taiwan,2015,22.5
148,Taiwan,2016,21.0
149,Taiwan,2017,32.666666666666664
150,Taiwan,2018,16.833333333333332
151,Taiwan,2019,20.666666666666668
152,Taiwan,2020,25.416666666666668
