country;date;value;Name
Albania (cons); 1996;0,28869;P90vsP10
Albania (cons); 2002;0,24038;P90vsP10
Albania (cons); 2005;0,24549;P90vsP10
Albania (cons); 2008;0,25914;P90vsP10
Albania (cons); 2012;0,26441;P90vsP10
Algeria (cons); 1988;0,17252;P90vsP10
Algeria (cons); 1995;0,19879;P90vsP10
Algeria (cons); 2011;0,28766;P90vsP10
Angola (cons); 2000;0,06766;P90vsP10
Angola (cons); 2009;0,13886;P90vsP10
Argentina (Urban) (inc); 1986;0,13177;P90vsP10
Argentina (Urban) (inc); 1987;0,11625;P90vsP10
Argentina (Urban) (inc); 1991;0,11486;P90vsP10
Argentina (Urban) (inc); 1992;0,10889;P90vsP10
Argentina (Urban) (inc); 1993;0,10313;P90vsP10
Argentina (Urban) (inc); 1994;0,10285;P90vsP10
Argentina (Urban) (inc); 1995;0,07855;P90vsP10
Argentina (Urban) (inc); 1996;0,07253;P90vsP10
Argentina (Urban) (inc); 1997;0,07592;P90vsP10
Argentina (Urban) (inc); 1998;0,07423;P90vsP10
Argentina (Urban) (inc); 1999;0,07485;P90vsP10
Argentina (Urban) (inc); 2000;0,0671;P90vsP10
Argentina (Urban) (inc); 2001;0,04741;P90vsP10
Argentina (Urban) (inc); 2002;0,06088;P90vsP10
Argentina (Urban) (inc); 2003;0,07116;P90vsP10
Argentina (Urban) (inc); 2004;0,08149;P90vsP10
Argentina (Urban) (inc); 2005;0,08287;P90vsP10
Argentina (Urban) (inc); 2006;0,08439;P90vsP10
Argentina (Urban) (inc); 2007;0,0895;P90vsP10
Argentina (Urban) (inc); 2008;0,09407;P90vsP10
Argentina (Urban) (inc); 2009;0,09353;P90vsP10
Argentina (Urban) (inc); 2010;0,11466;P90vsP10
Argentina (Urban) (inc); 2011;0,12027;P90vsP10
Argentina (Urban) (inc); 2012;0,12355;P90vsP10
Argentina (Urban) (inc); 2013;0,12745;P90vsP10
Argentina (Urban) (inc); 2014;0,13066;P90vsP10
Argentina (Urban) (inc); 2016;0,12684;P90vsP10
Armenia (cons); 1999;0,19898;P90vsP10
