date;country;value
1950;Argentina;2034
1951;Argentina;2037.8667
1952;Argentina;2041.7408
1953;Argentina;2045.6223
1954;Argentina;2049.5112
1955;Argentina;2053.4075
1956;Argentina;2057.311
1957;Argentina;2061.2222
1958;Argentina;2065.1406
1959;Argentina;2069.0667
1960;Argentina;2073
1961;Argentina;2066.2004
1962;Argentina;2059.4233
1963;Argentina;2052.6685
1964;Argentina;2045.9355
1965;Argentina;2039.2249
1966;Argentina;2032.5361
1967;Argentina;2025.8694
1968;Argentina;2019.2245
1969;Argentina;2012.6013
1970;Argentina;2006
1971;Argentina;2002.6611
1972;Argentina;1999.3278
1973;Argentina;1996
1974;Argentina;1992.8422
1975;Argentina;1989.6893
1976;Argentina;1986.5415
1977;Argentina;1983.3987
1978;Argentina;1980.2609
1979;Argentina;1977.1279
1980;Argentina;1974
1981;Argentina;1961.2301
1982;Argentina;1948.5427
1983;Argentina;1935.9375
1984;Argentina;1923.4137
1985;Argentina;1910.9711
1986;Argentina;1898.6089
1987;Argentina;1886.3267
1988;Argentina;1874.1238
1989;Argentina;1862
1990;Argentina;1850
1991;Argentina;1837.9608
1992;Argentina;1826
1993;Argentina;1850.3378
1994;Argentina;1875
1995;Argentina;1881.9612
1996;Argentina;1888.9481
1997;Argentina;1895.9611
1998;Argentina;1903
1999;Argentina;1887.285
2000;Argentina;1862.1362
2001;Argentina;1811.1526
2002;Argentina;1710.0365
2003;Argentina;1713.5746
2004;Argentina;1730.8173
2005;Argentina;1761.3994
2006;Argentina;1765.6013
2007;Argentina;1780.5565
2008;Argentina;1781.4246
2009;Argentina;1742.9043
2010;Argentina;1751.7655
2011;Argentina;1750.9741
2012;Argentina;1726.2584
2013;Argentina;1714.8711
2014;Argentina;1695.364
2015;Argentina;1691.5363
2016;Argentina;1691.5363
2017;Argentina;1691.5363
1870;Australia;2792
1880;Australia;2647
1890;Australia;2501
1900;Australia;2385
1913;Australia;2214
1929;Australia;2186
1938;Australia;2109
1950;Australia;2178.2456
1951;Australia;2158.1013
1952;Australia;2138.1436
1953;Australia;2118.3701
1954;Australia;2098.7798
1955;Australia;2079.3704
1956;Australia;2060.1406
1957;Australia;2041.0886
1958;Australia;2022.2129
1959;Australia;2003.5116
1960;Australia;1984.9834
1961;Australia;1981.3214
1962;Australia;1977.6663
1963;Australia;1974.0178
1964;Australia;1970.3761
1965;Australia;1966.7411
1966;Australia;1963.1128
1967;Australia;1959.4912
1968;Australia;1955.8762
1969;Australia;1952.2679
1970;Australia;1948.6664
1971;Australia;1929.967
1972;Australia;1909.5677
1973;Australia;1896.1807
1974;Australia;1913.4988
1975;Australia;1900.218
1976;Australia;1910.6301
1977;Australia;1912.4364
1978;Australia;1913.2864
1979;Australia;1918.705
1980;Australia;1919.1102
1981;Australia;1900.6442
1982;Australia;1881.5066
1983;Australia;1869.0269
1984;Australia;1883.6864
1985;Australia;1870.23
1986;Australia;1880.6699
1987;Australia;1877.5311
1988;Australia;1874.5796
1989;Australia;1887.2697
1990;Australia;1867.9515
1991;Australia;1853.8984
1992;Australia;1851.8408
1993;Australia;1869.6207
1994;Australia;1877.7278
1995;Australia;1875.9148
1996;Australia;1868.7593
1997;Australia;1867.0762
1998;Australia;1851.2338
1999;Australia;1855.8291
2000;Australia;1854.0353
2001;Australia;1818.213
2002;Australia;1814.1021
2003;Australia;1806.7209
2004;Australia;1805.0198
2005;Australia;1803.0101
2006;Australia;1791.9933
2007;Australia;1792.6515
2008;Australia;1790.54
2009;Australia;1761.7957
2010;Australia;1769.3094
2011;Australia;1768.6494
2012;Australia;1759.5193
2013;Australia;1755.8271
2014;Australia;1747.937
2015;Australia;1747.009
2016;Australia;1734.215
2017;Australia;1731.4943
1950;Austria;2085.6694
1951;Austria;2083.0156
1952;Austria;2080.3652
1953;Austria;2077.718
1954;Austria;2075.0742
1955;Austria;2072.4338
1956;Austria;2069.7966
1957;Austria;2067.1631
1958;Austria;2064.5327
1959;Austria;2061.9058
1960;Austria;2059.282
1961;Austria;2046.6298
1962;Austria;2034.0552
1963;Austria;2021.558
1964;Austria;2009.1375
1965;Austria;1996.7932
1966;Austria;1984.5249
1967;Austria;1972.3319
1968;Austria;1960.2139
1969;Austria;1948.1703
1970;Austria;1890.1375
1971;Austria;1885.288
1972;Austria;1905.7499
1973;Austria;1900.7313
1974;Austria;1978.6625
1975;Austria;1903.9717
1976;Austria;1898.0424
1977;Austria;1904.7831
1978;Austria;1844.0676
1979;Austria;1876.6804
1980;Austria;1881.0354
1981;Austria;1819.1412
1982;Austria;1835.1189
1983;Austria;1829.9122
1984;Austria;1825.9255
1985;Austria;1821.5303
1986;Austria;1820.7109
1987;Austria;1808.7163
